iter	RMSE
0	42.03585925
1	38.32471713
2	35.4011602
3	33.35663467
4	31.97629387
5	30.82782528
6	29.77657479
7	29.07537005
8	28.44814466
9	28.1298119
10	27.89888316
11	27.59836353
12	27.4341931
13	27.01930148
14	26.86275493
15	26.64003053
16	26.45465333
17	26.31315455
18	26.18595034
19	25.94119524
20	25.82001164
21	25.61951896
22	25.25153182
23	24.95123927
24	24.74271523
25	24.61870975
26	24.48834973
27	24.31134923
28	24.07728818
29	23.71284004
30	23.53974143
31	23.31333299
32	23.2822441
33	23.22393874
34	23.09968951
35	23.03025052
36	23.00118248
37	22.96704725
38	22.60665659
39	22.30210263
40	22.25908535
41	22.08369699
42	21.77886267
43	21.75462601
44	21.59307782
45	21.57102292
46	21.340545
47	21.18953364
48	21.13814399
49	21.01223779
50	21.00057843
51	20.90398231
52	20.76239135
53	20.55328142
54	20.44745794
55	20.25774018
56	20.07827996
57	19.98023357
58	19.96752537
59	19.94915323
60	19.93452585
61	19.92233602
62	19.78542139
63	19.62285901
64	19.61141203
65	19.60325929
66	19.48748598
67	19.37615507
68	19.36624806
69	19.20455525
70	19.02222517
71	18.9079469
72	18.8135829
73	18.68769322
74	18.63405401
75	18.50856855
76	18.44639937
77	18.34415058
78	18.26500284
79	18.20583737
80	18.12590697
81	18.06751965
82	18.04347458
83	17.94373854
84	17.90367945
85	17.83026921
86	17.76850557
87	17.53536322
88	17.42304923
89	17.35958277
90	17.22794234
91	17.12451466
92	17.05652267
93	16.93681917
94	16.82829406
95	16.7436079
96	16.66211166
97	16.60845923
98	16.47852785
99	16.40275153
