iter	Passed	Remaining
0	139	13806
1	140	6870
2	140	4557
3	141	3400
4	142	2705
5	143	2242
6	143	1910
7	144	1661
8	145	1467
9	145	1312
10	146	1185
11	147	1079
12	147	989
13	148	912
14	149	845
15	149	786
16	150	734
17	151	688
18	151	647
19	152	609
20	153	576
21	153	545
22	154	517
23	155	491
24	155	467
25	156	445
26	157	424
27	157	405
28	158	387
29	158	370
30	159	355
31	160	340
32	160	326
33	161	312
34	161	300
35	162	288
36	162	277
37	163	266
38	164	256
39	164	247
40	165	238
41	166	229
42	166	221
43	167	213
44	167	205
45	168	197
46	169	190
47	169	183
48	170	177
49	170	170
50	171	164
51	172	158
52	172	153
53	173	147
54	173	142
55	174	137
56	175	132
57	175	127
58	176	122
59	176	117
60	177	113
61	178	109
62	178	104
63	179	100
64	179	96
65	180	92
66	181	89
67	181	85
68	182	81
69	182	78
70	183	74
71	184	71
72	184	68
73	185	65
74	185	61
75	186	58
76	187	55
77	187	52
78	188	50
79	188	47
80	189	44
81	190	41
82	190	39
83	191	36
84	192	33
85	192	31
86	193	28
87	193	26
88	194	24
89	195	21
90	195	19
91	196	17
92	197	14
93	197	12
94	198	10
95	198	8
96	199	6
97	200	4
98	200	2
99	201	0
